source,managerCik,managerAddress,managerName,reportCalendarOrQuarter,cusip6,cusip,companyName,value,shares
https://sec.gov/Archives/edgar/data/1445065/0001445065-23-000011.txt,1445065,"ONE NORTH BRENTWOOD BLVD, SUITE 850, ST. LOUIS, MO, 63105","BENJAMIN F. EDWARDS & COMPANY, INC.",2023-06-30,958102,958102105,WESTERN DIGITAL CORP.,197000.0,5186
https://sec.gov/Archives/edgar/data/1445891/0001062993-23-014973.txt,1445891,"4 HIGH RIDGE PARK, 3RD FLOOR, STAMFORD, CT, 06905",Eagle Ridge Investment Management,2023-06-30,31428X,31428X106,FEDEX CORP,249243000.0,1005
https://sec.gov/Archives/edgar/data/1445891/0001062993-23-014973.txt,1445891,"4 HIGH RIDGE PARK, 3RD FLOOR, STAMFORD, CT, 06905",Eagle Ridge Investment Management,2023-06-30,654106,654106103,NIKE INC,419737000.0,3803
https://sec.gov/Archives/edgar/data/1445893/0001445893-23-000003.txt,1445893,"425 S FINANCIAL PLACE, 4TH FLOOR, CHICAGO, IL, 60605",CTC LLC,2023-06-30,31428X,31428X906,FEDEX CORP,34358940000.0,1386
https://sec.gov/Archives/edgar/data/1445893/0001445893-23-000003.txt,1445893,"425 S FINANCIAL PLACE, 4TH FLOOR, CHICAGO, IL, 60605",CTC LLC,2023-06-30,654106,654106903,NIKE INC,58418841000.0,5293
https://sec.gov/Archives/edgar/data/1445911/0001445911-23-000004.txt,1445911,"240 W. MAIN STREET, SUITE 300, CHARLOTTESVILLE, VA, 22902","Quantitative Investment Management, LLC",2023-06-30,31428X,31428X106,FedEx Corp,763000.0,3081
https://sec.gov/Archives/edgar/data/1445911/0001445911-23-000004.txt,1445911,"240 W. MAIN STREET, SUITE 300, CHARLOTTESVILLE, VA, 22902","Quantitative Investment Management, LLC",2023-06-30,64110D,64110D104,NetApp Inc,419000.0,5487
https://sec.gov/Archives/edgar/data/1445911/0001445911-23-000004.txt,1445911,"240 W. MAIN STREET, SUITE 300, CHARLOTTESVILLE, VA, 22902","Quantitative Investment Management, LLC",2023-06-30,958102,958102105,Western Digital Corp,389000.0,10272
https://sec.gov/Archives/edgar/data/1446114/0001446114-23-000030.txt,1446114,"6060 Parkland Boulevard, Suite 200, Cleveland, OH, 44124","Ancora Advisors, LLC",2023-06-30,31428X,31428X106,FEDEX CORP,1439596000.0,5807
https://sec.gov/Archives/edgar/data/1446114/0001446114-23-000030.txt,1446114,"6060 Parkland Boulevard, Suite 200, Cleveland, OH, 44124","Ancora Advisors, LLC",2023-06-30,65249B,65249B109,NEWS CORP NEW,15600000.0,800
https://sec.gov/Archives/edgar/data/1446114/0001446114-23-000030.txt,1446114,"6060 Parkland Boulevard, Suite 200, Cleveland, OH, 44124","Ancora Advisors, LLC",2023-06-30,654106,654106103,NIKE INC,21745211000.0,197021
https://sec.gov/Archives/edgar/data/1446114/0001446114-23-000030.txt,1446114,"6060 Parkland Boulevard, Suite 200, Cleveland, OH, 44124","Ancora Advisors, LLC",2023-06-30,697435,697435105,PALO ALTO NETWORKS INC,78268000.0,306
https://sec.gov/Archives/edgar/data/1446194/0001446194-23-000017.txt,1446194,"401 CITY AVENUE, SUITE 220, BALA CYNWYD, PA, 19004","SUSQUEHANNA INTERNATIONAL GROUP, LLP",2023-06-30,31428X,31428X106,FEDEX CORP,922523905000.0,3721355
https://sec.gov/Archives/edgar/data/1446194/0001446194-23-000017.txt,1446194,"401 CITY AVENUE, SUITE 220, BALA CYNWYD, PA, 19004","SUSQUEHANNA INTERNATIONAL GROUP, LLP",2023-06-30,36241U,36241U106,GSI TECHNOLOGY INC,762134000.0,137818
https://sec.gov/Archives/edgar/data/1446194/0001446194-23-000017.txt,1446194,"401 CITY AVENUE, SUITE 220, BALA CYNWYD, PA, 19004","SUSQUEHANNA INTERNATIONAL GROUP, LLP",2023-06-30,64110D,64110D104,NETAPP INC,95761517000.0,1253423
https://sec.gov/Archives/edgar/data/1446194/0001446194-23-000017.txt,1446194,"401 CITY AVENUE, SUITE 220, BALA CYNWYD, PA, 19004","SUSQUEHANNA INTERNATIONAL GROUP, LLP",2023-06-30,65249B,65249B109,NEWS CORP NEW,2555748000.0,131064
https://sec.gov/Archives/edgar/data/1446194/0001446194-23-000017.txt,1446194,"401 CITY AVENUE, SUITE 220, BALA CYNWYD, PA, 19004","SUSQUEHANNA INTERNATIONAL GROUP, LLP",2023-06-30,654106,654106103,NIKE INC,1025368866000.0,9290286
https://sec.gov/Archives/edgar/data/1446194/0001446194-23-000017.txt,1446194,"401 CITY AVENUE, SUITE 220, BALA CYNWYD, PA, 19004","SUSQUEHANNA INTERNATIONAL GROUP, LLP",2023-06-30,697435,697435105,PALO ALTO NETWORKS INC,2028619857000.0,7939493
https://sec.gov/Archives/edgar/data/1446194/0001446194-23-000017.txt,1446194,"401 CITY AVENUE, SUITE 220, BALA CYNWYD, PA, 19004","SUSQUEHANNA INTERNATIONAL GROUP, LLP",2023-06-30,958102,958102105,WESTERN DIGITAL CORP.,135628956000.0,3575770
https://sec.gov/Archives/edgar/data/1446440/0001172661-23-003090.txt,1446440,"20 West 55th St, 8th Floor, New York, NY, 10019",Chanos & Co LP,2023-06-30,654106,654106103,NIKE INC,1721772000.0,15600
https://sec.gov/Archives/edgar/data/1447884/0001104659-23-091019.txt,1447884,"ROOM 808, ICBC TOWER, 3 GARDEN ROAD, CENTRAL, Hong Kong, K3, 00000",Fosun International Ltd,2023-06-30,654106,654106103,NIKE INC,4058526000.0,36772
https://sec.gov/Archives/edgar/data/1447946/0001447946-23-000008.txt,1447946,"152 WEST 57TH STREET, 40TH FLOOR, NEW YORK, NY, 10019","CQS (US), LLC",2023-06-30,65249B,65249B109,NEWS CORP NEW,11613615000.0,595570
https://sec.gov/Archives/edgar/data/1448574/0001448574-23-000003.txt,1448574,"11 TIMES SQUARE, 39TH FLOOR, NEW YORK, NY, 10036","MOORE CAPITAL MANAGEMENT, LP",2023-06-30,31428X,31428X106,FEDEX CORP,23230213000.0,93708
https://sec.gov/Archives/edgar/data/1448574/0001448574-23-000003.txt,1448574,"11 TIMES SQUARE, 39TH FLOOR, NEW YORK, NY, 10036","MOORE CAPITAL MANAGEMENT, LP",2023-06-30,697435,697435105,PALO ALTO NETWORKS INC,8393759000.0,32851
https://sec.gov/Archives/edgar/data/1449126/0001420506-23-001353.txt,1449126,"300 Parkland Plaza, Ann Arbor, MI, 48103",Sigma Planning Corp,2023-06-30,31428X,31428X106,FEDEX CORP,2204152000.0,8891
https://sec.gov/Archives/edgar/data/1449126/0001420506-23-001353.txt,1449126,"300 Parkland Plaza, Ann Arbor, MI, 48103",Sigma Planning Corp,2023-06-30,654106,654106103,NIKE INC,2061510000.0,18678
https://sec.gov/Archives/edgar/data/1449126/0001420506-23-001353.txt,1449126,"300 Parkland Plaza, Ann Arbor, MI, 48103",Sigma Planning Corp,2023-06-30,697435,697435105,PALO ALTO NETWORKS INC,2129793000.0,8335
https://sec.gov/Archives/edgar/data/1450144/0000919574-23-004792.txt,1450144,"100 Avenue of the Americas, 2nd Floor, New York, NY, 10013","TWO SIGMA SECURITIES, LLC",2023-06-30,31428X,31428X106,FEDEX CORP,24997988000.0,100839
https://sec.gov/Archives/edgar/data/1450144/0000919574-23-004792.txt,1450144,"100 Avenue of the Americas, 2nd Floor, New York, NY, 10013","TWO SIGMA SECURITIES, LLC",2023-06-30,64110D,64110D104,NETAPP INC,389640000.0,5100
https://sec.gov/Archives/edgar/data/1450144/0000919574-23-004792.txt,1450144,"100 Avenue of the Americas, 2nd Floor, New York, NY, 10013","TWO SIGMA SECURITIES, LLC",2023-06-30,654106,654106103,NIKE INC,40659425000.0,368392
https://sec.gov/Archives/edgar/data/1450144/0000919574-23-004792.txt,1450144,"100 Avenue of the Americas, 2nd Floor, New York, NY, 10013","TWO SIGMA SECURITIES, LLC",2023-06-30,697435,697435105,PALO ALTO NETWORKS INC,35311482000.0,138200
https://sec.gov/Archives/edgar/data/1450144/0000919574-23-004792.txt,1450144,"100 Avenue of the Americas, 2nd Floor, New York, NY, 10013","TWO SIGMA SECURITIES, LLC",2023-06-30,958102,958102105,WESTERN DIGITAL CORP.,4248160000.0,112000
https://sec.gov/Archives/edgar/data/1450935/0001450935-23-000002.txt,1450935,"5407 PARKCREST DRIVE, 2ND FLOOR, AUSTIN, TX, 78731",B & T Capital Management DBA Alpha Capital Management,2023-06-30,697435,697435105,PALO ALTO NETWORKS INC,2858477000.0,20485
https://sec.gov/Archives/edgar/data/1451623/0001451623-23-000003.txt,1451623,"ONE NORTH BRENTWOOD BOULEVARD, SUITE 850, Clayton, MO, 63105",BENJAMIN EDWARDS INC,2023-06-30,31428X,31428X106,FEDEX CORP,813000.0,3281
https://sec.gov/Archives/edgar/data/1451623/0001451623-23-000003.txt,1451623,"ONE NORTH BRENTWOOD BOULEVARD, SUITE 850, Clayton, MO, 63105",BENJAMIN EDWARDS INC,2023-06-30,654106,654106103,NIKE INC,611000.0,5537
https://sec.gov/Archives/edgar/data/1451623/0001451623-23-000003.txt,1451623,"ONE NORTH BRENTWOOD BOULEVARD, SUITE 850, Clayton, MO, 63105",BENJAMIN EDWARDS INC,2023-06-30,697435,697435105,PALO ALTO NETWORKS INC,22000.0,86
